Title,Note,URL,Tags,Comment
Spruce,,https://www.google.com/maps/place/Spruce/data=!4m2!3m1!1s0x48760550bbe9764d:0x10809be46563bba2,,
Como La Flor,,https://www.google.com/maps/place/Como+La+Flor/data=!4m2!3m1!1s0x85d1ff0079e13f9b:0xfbe16451b105bd4,,
Calma Nail Bar - Condesa,,https://www.google.com/maps/place/Calma+Nail+Bar+-+Condesa/data=!4m2!3m1!1s0x85d1ff0f4c40f3d5:0x196aea7d3c137952,,
Tacos Domingo - Reforma,,https://www.google.com/maps/place/Tacos+Domingo+-+Reforma/data=!4m2!3m1!1s0x85d1ff00595b5a33:0xcc5d87bc7ef4bbba,,
Crissis Crissis,,https://www.google.com/maps/place/Crissis+Crissis/data=!4m2!3m1!1s0x85d20100428409c9:0xd37259e1da8313f6,,
Buna - Café Rico,,https://www.google.com/maps/place/Buna+-+Caf%C3%A9+Rico/data=!4m2!3m1!1s0x85d1ff30eb858d85:0x263ee4f447c7779,,
Café De Las Artes,,https://www.google.com/maps/place/Caf%C3%A9+De+Las+Artes/data=!4m2!3m1!1s0x85d200024b1065c7:0x8bed44b572baea2a,,
Señor Croissant,,https://www.google.com/maps/place/Se%C3%B1or+Croissant/data=!4m2!3m1!1s0x85d1ffefb45019c5:0xd0fa00958aab4789,,
Carajo Maria,,https://www.google.com/maps/place/Carajo+Maria/data=!4m2!3m1!1s0x85d1ffd81206d9e7:0x95cf1ddc65226d66,,
Don Vergas Mariscos,,https://www.google.com/maps/place/Don+Vergas+Mariscos/data=!4m2!3m1!1s0x85d1ff00223f0985:0x845ca35be33d5d44,,
Crown & Hart Pub,,https://www.google.com/maps/place/Crown+%26+Hart+Pub/data=!4m2!3m1!1s0x85d1ffdb9bebd49b:0xe2686928a9779648,,
COMPAY CAFÉ,,https://www.google.com/maps/place/COMPAY+CAF%C3%89/data=!4m2!3m1!1s0x85d1ff000df55091:0x60416c36683f2733,,
ISMO,,https://www.google.com/maps/place/ISMO/data=!4m2!3m1!1s0x85d1ffb615ff1e5b:0x504df8c1db0fe6ad,,
El Compita Taquería,,https://www.google.com/maps/place/El+Compita+Taquer%C3%ADa/data=!4m2!3m1!1s0x85d1ff4fa8a0f1d7:0x296825968fcbf38d,,
MAMAPAPA,,https://www.google.com/maps/place/MAMAPAPA/data=!4m2!3m1!1s0x85d1ff9082346959:0xea8acd0204d2afe4,,
FRITANGUITA,,https://www.google.com/maps/place/FRITANGUITA/data=!4m2!3m1!1s0x85d1ff001507d631:0x11156d096795c88d,,
TONCHIN MEXICO CITY,,https://www.google.com/maps/place/TONCHIN+MEXICO+CITY/data=!4m2!3m1!1s0x85d1ffdcd181c567:0x78122a348a8049f7,,
LENEZ Bar de vinos,,https://www.google.com/maps/place/LENEZ+Bar+de+vinos/data=!4m2!3m1!1s0x85d1ff49d8e1aaab:0x1eaa2dfa0c756edc,,
Magazzino,,https://www.google.com/maps/place/Magazzino/data=!4m2!3m1!1s0x85d1ff13b1b519ff:0xe5dab33cb6c097fe,,
Taqueria La Estrella,,https://www.google.com/maps/place/Taqueria+La+Estrella/data=!4m2!3m1!1s0x85d1ff811b62782f:0x296a70bf9ca236dc,,
Cafe Ocaso,,https://www.google.com/maps/place/Cafe+Ocaso/data=!4m2!3m1!1s0x85d1ff0061c69e11:0xd1615e6b923b89c2,,
Taverna,,https://www.google.com/maps/place/Taverna/data=!4m2!3m1!1s0x85d1ffa2da192337:0xb10c3bd5a92fe6dd,,
Balagán,,https://www.google.com/maps/place/Balag%C3%A1n/data=!4m2!3m1!1s0x85d1ffe1d3d46337:0x2abd8ab96d5fbe5d,,
SUKAI,,https://www.google.com/maps/place/SUKAI/data=!4m2!3m1!1s0x85d1ff5f6842e4f7:0x575f150ac02534e,,
MILPA,,https://www.google.com/maps/place/MILPA/data=!4m2!3m1!1s0x85d1ff958ed5ef63:0xba90a3dadbc0b403,,
The Carpenter's Arms,,https://www.google.com/maps/place/The+Carpenter's+Arms/data=!4m2!3m1!1s0x48760e49c13d8b97:0x746ffd4c0de3d29c,,
Vacaciones,,https://www.google.com/maps/place/Vacaciones/data=!4m2!3m1!1s0x85d1f90026714a33:0x1a7fb25dc99b8b48,,
La Cocina del Bizco,,https://www.google.com/maps/place/La+Cocina+del+Bizco/data=!4m2!3m1!1s0x85d1ff0000f03b53:0x3315b5b8246ad3ca,,
Lindy,,https://www.google.com/maps/place/Lindy/data=!4m2!3m1!1s0x85d1ffedb5413041:0x6b82503ff7926e00,,
Tacos Hola El Güero,,https://www.google.com/maps/place/Tacos+Hola+El+G%C3%BCero/data=!4m2!3m1!1s0x85d1ff410c04e265:0x3a4d191d1fd40fa5,,
Amorcita Gelato,,https://www.google.com/maps/place/Amorcita+Gelato/data=!4m2!3m1!1s0x85d1ffbb381cf8bb:0xc78eefaaa75e438a,,
madde.,Pedir pastel de platano,https://www.google.com/maps/place/madde./data=!4m2!3m1!1s0x85d1ff817b2a0a41:0x15d64941276b5953,,
Owl Bar (Speakeasy),,https://www.google.com/maps/place/Owl+Bar+(Speakeasy)/data=!4m2!3m1!1s0x85d1ff00569089ab:0x960cb4a293bf3845,,
Principal Cafe,Cafe en las mananas y cenar y sobremesa,https://www.google.com/maps/place/Principal+Cafe/data=!4m2!3m1!1s0x85d1ff001c3a8697:0x7b66aa6e592a4346,,
